Date,Solar radiation (W/m2),Air temperature (C),Vapour pressure (mb),Wind Speed (m/s),Cloudiness (-)
2017-11-01 00:00,0,1.273,6.122,1.731,0
2017-11-01 06:00,82.5,3.218,6.108,1.177,0
2017-11-01 12:00,2.5,3.315,7.597,1.933,0
2017-11-01 18:00,0,3.318,7.576,1.297,0.01
2017-11-02 00:00,0,2.422,7.577,1.609,0
2017-11-02 06:00,122.5,3.815,6.1,5.845,0.06
2017-11-02 12:00,2.5,0.837,4.605,3.243,0
2017-11-02 18:00,0,-1.278,4.612,1.186,0
2017-11-03 00:00,0,-1.321,4.602,1.495,0
2017-11-03 06:00,130,1.672,6.127,2.804,0
2017-11-03 12:00,0,2.301,6.109,2.442,0
2017-11-03 18:00,0,0.883,6.098,2.775,0
2017-11-04 00:00,0,0.433,6.092,2.649,0
2017-11-04 06:00,115,2.666,6.095,2.748,0
2017-11-04 12:00,2.5,1.805,6.096,2.316,0
2017-11-04 18:00,0,2.129,7.614,2.571,0
2017-11-05 00:00,0,2.373,6.086,2.774,0
2017-11-05 06:00,15,3.299,7.596,2.174,0
2017-11-05 12:00,0,4.331,7.593,1.873,0.11
2017-11-05 18:00,0,2.435,6.093,3.086,0
2017-11-06 00:00,0,1.734,6.124,4.495,0
2017-11-06 06:00,102.5,1.802,6.164,3.333,0.0025
2017-11-06 12:00,0,-0.962,4.644,2.054,0
2017-11-06 18:00,0,-2.541,4.658,1.775,0
2017-11-07 00:00,0,-1.642,4.661,2.096,0
2017-11-07 06:00,82.5,1.008,6.218,3.01,0
2017-11-07 12:00,0,0.66,6.219,2.817,0.0275
2017-11-07 18:00,0,-0.135,6.223,2.89,0.005
2017-11-08 00:00,0,0.274,6.219,2.673,0
2017-11-08 06:00,80,2.018,6.219,4.063,0
2017-11-08 12:00,0,1.231,6.214,3.035,0
2017-11-08 18:00,0,0.583,6.198,4.429,0
2017-11-09 00:00,0,2.822,6.157,7.1,0
2017-11-09 06:00,17.5,4.626,7.622,8.648,0
2017-11-09 12:00,0,3.397,6.074,5.593,0
2017-11-09 18:00,0,1.227,4.558,5.308,0
2017-11-10 00:00,0,-1.943,4.553,2.813,0
2017-11-10 06:00,87.5,-0.369,4.546,2.843,0
2017-11-10 12:00,0,-1.741,4.537,0.713,0.0375
2017-11-10 18:00,0,-2.726,4.531,0.865,0
2017-11-11 00:00,0,-2.411,4.523,1.637,0
2017-11-11 06:00,65,-2.769,4.52,2.137,0
2017-11-11 12:00,0,-3.04,3.016,2.682,0
2017-11-11 18:00,0,-3.956,3.017,2.099,0
2017-11-12 00:00,0,-3.978,3.017,1.799,0
2017-11-12 06:00,82.5,-1.517,4.534,2.168,0
2017-11-12 12:00,0,-1.789,4.547,1.959,0
2017-11-12 18:00,0,-2.907,4.572,3.307,0
2017-11-13 00:00,0,-2.021,4.594,3.921,0
2017-11-13 06:00,85,-1.121,4.615,3.903,0
2017-11-13 12:00,0,-2.004,4.621,3.468,0
2017-11-13 18:00,0,-4.596,3.081,2.194,0
2017-11-14 00:00,0,-5.242,3.073,1.161,0
2017-11-14 06:00,52.5,-3.504,4.598,2.176,0
2017-11-14 12:00,0,-2.481,4.597,2.171,0
2017-11-14 18:00,0,-3.199,4.606,2.303,0
2017-11-15 00:00,0,-4.029,4.603,2.152,0
2017-11-15 06:00,57.5,0.239,4.606,4.643,0
2017-11-15 12:00,0,-1.221,4.624,4.266,0
2017-11-15 18:00,0,-1.533,4.638,3.834,0
2017-11-16 00:00,0,-2.382,4.647,2.107,0
2017-11-16 06:00,70,-1.976,4.639,2.224,0
2017-11-16 12:00,0,0.127,6.148,4.424,0
2017-11-16 18:00,0,2.676,7.62,4.559,0
2017-11-17 00:00,0,0.221,4.58,5.039,0
2017-11-17 06:00,70,-0.587,4.586,5.32,0
2017-11-17 12:00,0,1.17,4.582,5.306,0.065
2017-11-17 18:00,0,-0.539,4.574,4.19,0
2017-11-18 00:00,0,-2.425,4.553,2.037,0
2017-11-18 06:00,65,-3.31,4.544,1.409,0
2017-11-18 12:00,0,-4.335,4.539,0.041,0
2017-11-18 18:00,0,-3.618,4.547,2.326,0
2017-11-19 00:00,0,-4.869,3.041,4.114,0
2017-11-19 06:00,50,-5.577,3.051,4.335,0
2017-11-19 12:00,0,-5.914,3.059,3.46,0
2017-11-19 18:00,0,-6.997,3.063,3.25,0
2017-11-20 00:00,0,-7.697,3.066,2.695,0
2017-11-20 06:00,55,-7.826,3.069,2.293,0
2017-11-20 12:00,0,-8.986,3.068,1.438,0
2017-11-20 18:00,0,-9.787,3.069,1.217,0
2017-11-21 00:00,0,-9.996,3.069,1.576,0
2017-11-21 06:00,47.5,-9.97,3.071,1.803,0
2017-11-21 12:00,0,-10.987,1.535,1.501,0
2017-11-21 18:00,0,-11.903,1.534,0.894,0
2017-11-22 00:00,0,-11.167,1.532,1.427,0
2017-11-22 06:00,22.5,-9.168,3.063,3.13,0
2017-11-22 12:00,0,-3.664,4.585,6.016,0
2017-11-22 18:00,0,-0.978,6.076,7.161,0
2017-11-23 00:00,0,2.054,7.537,5.773,0
2017-11-23 06:00,12.5,3.516,7.516,6.507,0
2017-11-23 12:00,0,4.787,7.501,6.609,0.065
2017-11-23 18:00,0,3.847,7.509,7.089,0.16
2017-11-24 00:00,0,0.137,6.038,4.739,0.0575
2017-11-24 06:00,50,-0.702,4.548,5.171,0
2017-11-24 12:00,0,-1.827,4.558,4.777,0
2017-11-24 18:00,0,-2.817,4.568,3.809,0
2017-11-25 00:00,0,-4.289,4.57,2.758,0
2017-11-25 06:00,40,-3.702,4.57,3.501,0
2017-11-25 12:00,0,-1.988,4.573,3.712,0.02
2017-11-25 18:00,0,-3.369,4.574,2.987,0
2017-11-26 00:00,0,-2.424,4.571,3.182,0
2017-11-26 06:00,22.5,-2.141,4.57,3.21,0
2017-11-26 12:00,0,-1.747,4.568,2.198,0.015
2017-11-26 18:00,0,-3.367,4.57,0.76,0
2017-11-27 00:00,0,-4.466,4.572,1.391,0
2017-11-27 06:00,27.5,-4.923,4.579,1.393,0
2017-11-27 12:00,0,-5.691,3.053,0.568,0
2017-11-27 18:00,0,-5.727,3.054,1.738,0
2017-11-28 00:00,0,-5.432,4.576,2.993,0
2017-11-28 06:00,15,-5.147,4.581,3.644,0
2017-11-28 12:00,0,-4.941,4.58,3.638,0
2017-11-28 18:00,0,-5.213,4.582,3.233,0
2017-11-29 00:00,0,-5.417,3.054,3.582,0.095
2017-11-29 06:00,15,-5.789,3.054,3.076,0
2017-11-29 12:00,0,-5.478,3.052,2.898,0
2017-11-29 18:00,0,-4.691,4.576,2.53,0
2017-11-30 00:00,0,-4.731,4.58,2.122,0
2017-11-30 06:00,15,-4.943,4.596,2.294,0
2017-11-30 12:00,0,-5.011,4.616,2.786,0
2017-11-30 18:00,0,-6.726,3.09,2.559,0
