Conventions,G,BADC-CSV,1
title,G,GloboLakes: high-resolution global limnology dataset v1
creator,G,Dr Laura Carrea,"Department of Meteorology, University of Reading"
contributor,G,Poppy Townsend,CEDA
long_name,1,GLWD ID,1
type,1,int
comment,1,GLWD ID is the ID number for the lake/waterbody within the Global Lake Water Database
long_name,2,Name,1
type,2,char
comment,2,Name of the water body
long_name,3,Country,1
type,3,char
comment,3,Name of country where water body is situated
long_name,4,Lat centre,degree
type,4,float
comment,4,Latitude for the centre of the water body
long_name,5,Lon centre,degree
type,5,float
comment,5,Longitude for the centre of the water body
long_name,6,Lat min,degree
type,6,float
comment,6,Minimum latitude for the water body
long_name,7,Lat max,degree
type,7,float
comment,7,Maximum latitude for the water body
long_name,8,Lon min,degree
type,8,float
comment,8,Minimum longitude for the water body
long_name,9,Lon max,degree
type,9,float
comment,9,Maximum longitude for the water body
location_name,G,Rutherford Appleton Lab
location,G,global
date_valid,G,2005-01-01,2010-01-01
last_revised_date,G,2015-07-21
history,G,Version 1
observation_station,G,unknown computer at the University of Reading
feature_type,G,point collection
source,G,data were derived from the ESA CCI Land Cover Map
activity,G,the NERC funded GloboLakes project
data
1,2,3,4,5,6,7,8,9
1, Caspian sea,Kazakhstan,38.6542,51.1597,36.5681,47.1319,46.6958,54.0514
2, lake Superior,Canada,47.9625,-87.0431,46.4125,49.0153,-92.2125,-84.3264
3, lake Victoria,Tanzania,-0.8764,33.1431,-3.0403,0.4903,31.5958,34.8653
4, Aral sea,Kazakhstan,44.6486,59.8347,43.4292,46.7875,58.2097,61.8292
5, lake Huron,Canada,44.7208,-82.3458,43.0014,46.5486,-84.7625,-79.6653
6, lake Michigan,United States,42.6042,-87.0153,41.6208,46.1014,-88.0458,-84.7597
7, lake Tanganyika,Zaire,-6.8014,30.0375,-8.8097,-3.3458,29.0597,31.1986
8, lake Baykal/Baikal,Russia,54.1736,108.9736,51.4597,55.8681,103.7014,109.9625
9, Great Bear lake,Canada,66.0125,-120.3764,64.7958,67.0375,-125.1403,-117.4597
10, lake Malawi/Nyasa/Niassa,Malawi,-11.6042,34.6375,-14.4458,-9.4931,33.8875,35.2931
11, Great Slave lake,Canada,61.3347,-114.7958,60.8292,63.3625,-117.6736,-108.9042
12, lake Erie,Canada,42.2514,-81.1292,41.3792,43.0819,-83.4792,-78.8542
13, lake Winnipeg,Canada,53.4153,-98.4236,50.3208,53.8792,-99.2708,-96.2181
14, lake Chad,Chad,13.1319,14.4653,12.4819,14.2181,13.1847,15.3292
15, lake Ontario,Canada,43.6653,-77.7625,43.1653,44.5514,-79.8903,-75.7319
16, lake Ladoga,Russia,60.7653,31.6486,59.8986,61.7819,29.8264,32.9625
17, lake Balqhash,Kazakhstan,46.2903,74.4764,44.9847,46.8319,73.3986,79.2403
18, lake Onega,Russia,61.6625,35.5319,60.8903,62.9125,34.2181,36.4708
19, lago de Sobradinho,Brazil,-9.9042,-42.1986,-11.4042,-9.1236,-43.2375,-40.7708
20, lago Titicaca,Peru,-15.7681,-69.4569,-16.5931,-15.2375,-70.0153,-68.5764
21, lago Nicaragua/Cocibolca/Granada,Nicaragua,11.3569,-85.2431,11.0292,12.1208,-85.9486,-84.7708
22, lake Turkana,Kenya,3.7764,36.0486,2.3958,4.6514,35.8292,36.7042
23, lake Athabasca,Canada,59.3319,-109.4181,58.5764,59.6264,-111.2986,-105.9569
24, lake Volta,Ghana,6.5597,0.0292,6.1125,9.0819,-1.5042,0.3208
25, Issyk Kul,Kyrgyzstan,42.4236,77.3653,42.1569,42.7597,76.1847,78.3264
26, Great Salt lake,United States,41.2847,-112.6875,40.6542,41.7153,-113.1125,-111.9042
27, Michikamau lake,Canada,54.0153,-63.9986,53.6958,54.6986,-65.6069,-63.0514
28, Reindeer lake,Canada,57.5542,-102.2014,56.1625,58.2014,-103.3292,-101.2069
29, Vanern,Sweden,59.0514,13.5931,58.3514,59.4153,12.2958,14.1514
30, lake Albert,Uganda,1.7764,31.0819,1.0042,2.3847,30.3542,31.4792
31, lake Winnipegosis,Canada,52.6986,-99.9014,51.5681,53.1792,-101.1069,-99.6208
32, Netilling lake/Foxe Basin,Canada,66.6181,-70.9931,65.8097,67.0319,-71.4764,-69.1292
33, Kuybyshevskoye reservoir,Russia,54.5514,48.5931,53.2597,55.8292,48.3514,50.8181
34, Urmia lake,Iran,37.9181,45.2542,36.9847,38.2708,44.9958,45.9847
35, lake Kariba,Zimbabwe,-17.0153,27.8347,-17.9819,-16.4625,27.0069,29.0514
36, lake Mweru,Zambia,-8.9931,28.7319,-9.5431,-8.4764,28.3236,29.1542
37, lake Manitoba,Canada,50.3958,-98.2681,50.1569,51.8069,-99.5764,-97.9375
38, lake Nipigon,Canada,49.7264,-88.6903,49.3097,50.2931,-89.1153,-87.9847
39, Bratskoye reservoir,Russia,55.6375,101.9486,53.1097,56.3903,101.1514,103.8181
40, lake Zaysan,Kazakhstan,47.9014,84.2597,47.6681,49.7514,82.9958,84.6097
41, Qinghai lake,China,37.0208,100.2014,36.5514,37.2347,99.6097,100.7597
42, lago de Cahora Bassa,Mozambique,-15.6181,32.3069,-15.9458,-15.4986,30.5264,32.7097
43, ozero Taymyr,Russia,74.5625,100.9764,73.8181,75.1292,100.0708,105.8597
44, lake of the Woods,Canada,49.0847,-94.9458,48.8208,49.9181,-95.3264,-93.8486
45, ozero Khanka,Russia,45.0792,132.4514,44.5292,45.3542,131.9819,132.8514
46, lagoa Mirim,Brazil,-32.6125,-52.8125,-33.6125,-32.1486,-53.6681,-52.5653
47, Rybinkskoye reservoir,Russia,58.4014,38.5208,57.7792,59.1819,37.1097,39.1458
48, lake Nasser,Egypt,23.2069,32.7986,21.5792,24.0431,31.0681,33.2458
49, Dubawnt lake,Canada,63.1625,-101.4431,62.6292,63.6347,-102.2236,-100.6236
50, lake Peipus/Peipsi,Russia,58.8208,27.4208,57.8208,59.0347,26.9486,28.2597
51, lake Van,Turkey,38.6292,42.7292,38.3097,39.0069,42.2903,43.6569
52, represa de Tucurui,Brazil,-4.1347,-49.6208,-5.4292,-3.7181,-49.9514,-49.0292
53, Uvs lake,Mongolia,50.3069,92.7181,49.9875,50.6903,92.2014,93.4264
54, La Grande Riviere reservoir,Canada,53.8736,-76.7069,53.4764,54.2569,-77.7208,-75.7347
55, lake Tana,Ethiopia,12.0708,37.4014,11.5986,12.3042,36.9958,37.6208
56, Amadjuak lake,Canada,64.9486,-71.0431,64.5625,65.4125,-72.0542,-70.2514
57, Cedar lake,Canada,53.2181,-100.1875,53.0375,53.6431,-100.9264,-99.2931
58, lake Alakol,Kazakhstan,45.9764,81.8097,45.7319,46.5069,81.3431,82.1514
59, Khuvsgul lake,Mongolia,51.2181,100.5125,50.4319,51.6236,100.1514,100.8042
60, Nizhnekamsk reservoir,Russia,55.8958,52.6486,55.6542,56.1347,51.9819,53.6208
61, Volgogradskoye reservoir,Russia,50.3431,45.8569,48.7847,51.8542,44.6042,46.6764
62, Iliamna lake,United States,59.4653,-155.5903,59.3125,59.8097,-155.9264,-153.8681
63, La Grande Riviere reservoir,Canada,53.8403,-75.3847,53.4347,53.9875,-76.0319,-73.7514
64, Tonle Sap lake,Cambodia,13.0486,103.9264,12.3514,13.2597,103.6792,104.6347
65, lago Itaipu,Paraguay,-25.2042,-54.4486,-25.4542,-24.0403,-54.7764,-54.1653
66, Taihu lake,China,31.2319,120.0764,30.9236,31.5486,119.8903,120.6014
67, lac Kivu,Zaire,-1.7931,29.1542,-2.4958,-1.5847,28.8375,29.3792
68, Wollaston lake,Canada,58.2125,-103.4347,57.6653,58.9153,-104.0375,-102.6208
69, lake Edward,Zaire,-0.3042,29.6181,-0.6986,-0.0764,29.3042,29.9125
70, Porto Primavera dam/Eng Sergio Motta dam,Brazil,-22.4014,-52.8931,-22.4875,-21.1681,-53.0042,-51.8458
71, Tsimlyanskoye reservoir,Russia,47.7153,42.3708,47.5014,48.6792,42.0597,43.5847
72, Southern Indian lake,Canada,57.3319,-98.3403,56.6097,57.6764,-99.9597,-97.8125
73, rio Tapajos and rio Arapiuns,Brazil,-2.6792,-55.0847,-3.6014,-2.2208,-55.6708,-54.7097
74, Cheboksary reservoir,Russia,56.2986,46.7125,56.1181,56.4292,46.5347,47.2347
75, Hulun lake,China,48.8931,117.3458,48.5431,49.3819,116.9569,117.7986
76, lake Mistassini,Canada,51.0042,-73.6181,50.2486,51.3903,-74.2292,-72.7653
77, Therthar lake,Iraq,33.8931,43.3014,33.6819,34.4708,43.0431,43.6819
78, Poyang lake,China,29.1319,116.1708,28.7625,29.7569,115.7986,116.7458
79, Kakhovs'ke reservoir,Ukraine,47.4958,34.0597,46.7653,47.7958,33.3597,35.3625
80, Vilyuy dam,Russia,62.7097,111.2847,61.9514,63.5681,109.6792,112.4681
81, lake Bangweulu and lake Walilupe and lake Chifunabuli,Zambia,-10.9792,29.9042,-11.5208,-10.8431,29.5042,30.0319
82, lac Manicouagan,Canada,51.2764,-68.2986,50.6458,52.0736,-69.4014,-68.1375
83, Nueltin lake,Canada,60.4097,-99.6069,59.5681,60.9319,-100.1347,-98.6792
84, lago Mar Chiquita,Argentina,-30.4931,-62.4819,-30.9542,-30.0069,-63.3792,-62.1792
85, Sivash lake,Ukraine,46.1542,33.9347,45.6347,46.2903,33.6375,35.0458
86, lake Rukwa,Tanzania,-8.0014,32.1569,-8.5153,-7.3931,31.5264,32.9431
87, Kremenchuk/Kremenchuts'ke reservoir,Ukraine,49.2347,32.7819,48.9819,49.5847,31.9125,33.3236
88, Zeyskoye reservoir,Russia,54.4347,127.7042,53.7708,54.7653,127.1819,129.1569
89, Ijsselmeer and Markermeer,Netherlands,52.5431,5.2347,52.2486,53.0681,4.9736,5.8819
90, lac Mai-Ndombe,Zaire,-1.6847,18.2764,-2.7181,-1.4903,18.0319,18.6347
91, Nam lake,China,30.6958,90.4514,30.5042,30.9292,90.2486,91.0403
92, ozero Chany,Russia,54.9514,77.9653,54.5903,55.0764,76.7208,78.0819
93, Krasnoyarskoye reservoir,Russia,54.2264,91.4625,53.7125,55.9403,90.7986,92.6653
94, General Carrera lake/lago Buenos Aires,Chile,-46.4819,-71.5153,-47.0208,-46.2875,-72.9819,-71.1375
95, Vattern,Sweden,58.5458,14.7069,57.7847,58.8847,14.1097,15.0375
96, lago de Serra da Mesa,Brazil,-14.1097,-48.2903,-14.6292,-13.7792,-49.0958,-48.1181
97, Baker lake,Canada,64.2097,-95.3819,63.9431,64.3264,-96.3208,-94.1375
98, lake Argyle,Australia,-16.2931,128.8264,-16.7958,-16.0681,128.5597,128.9847
99, lake Kyoga,Uganda,1.4708,32.9986,1.2069,1.7875,32.5153,33.4819
100, lac la  Martre,Canada,63.4569,-118.1903,63.0736,63.5792,-118.6653,-117.1375
101, laguna Madre,Mexico,25.1958,-97.5819,23.7903,25.5042,-97.8681,-97.3764
102, Ust-ilimskoye reservoir,Russia,57.3236,102.3347,56.2875,58.0431,101.1903,103.7986
103, Williston lake,Canada,55.9847,-123.9181,55.1597,56.9125,-125.0375,-122.1625
104, Kamskoye/Kama reservoir,Russia,58.8625,56.2847,57.7764,59.8681,55.4458,57.0514
105, Siling lake,China,31.8014,89.0903,31.5458,32.0764,88.5292,89.3542
106, Brokopondo,Suriname,4.8625,-55.0625,4.4153,5.0069,-55.3764,-54.7875
107, lac Seul,Canada,50.3153,-92.5542,50.0931,50.7125,-93.2458,-91.5319
108, lac de Kossou,Ivory Coast,7.1625,-5.6181,6.9903,7.8264,-5.7792,-5.3736
109, Hung-tse lake,China,33.2847,118.7236,33.0347,33.6458,118.1514,118.8708
110, lake Sakakawea,United States,47.8069,-102.3125,47.4569,48.1764,-103.8514,-101.0958
111, Saimaa,Finland,61.1986,28.5069,61.0542,61.7208,27.2458,28.8597
112, Khantayskoye reservoir,Russia,67.8264,87.5986,67.4375,68.6042,87.1958,89.3125
113, Saratovskoye reservoir,Russia,52.8486,48.4792,52.0097,53.4736,47.7097,50.1958
114, lake Okeechobee,United States,26.9403,-80.7903,26.6875,27.2042,-81.0931,-80.6097
115, Michikamau lake,Canada,54.6847,-66.4319,53.6347,55.1319,-66.8347,-65.6681
116, Kainji reservoir,Nigeria,10.4097,4.5653,9.8319,11.0292,4.3625,4.7431
117, Argentino lake,Argentina,-50.2458,-72.5014,-50.6903,-49.8875,-73.4431,-71.9736
118, Gouin reservoir,Canada,48.5375,-74.5347,48.2486,48.8347,-75.4319,-74.0847
119, lake Mweru wantipa,Zambia,-8.6569,29.7236,-8.9903,-8.4542,29.4431,29.9986
120, lake Tengiz,Kazakhstan,50.3125,68.8597,50.1819,50.7125,68.6347,69.6347
121, Khyargas lake,Mongolia,49.2042,93.2208,48.9514,49.3403,92.7986,93.8069
122, lake Oahe,United States,44.7375,-100.6375,44.4264,46.5681,-101.1681,-100.2319
123, X,Suriname,4.13,-57.44,0.0,0.0,0.0,0.0
124, Kasba lake,Canada,60.3208,-102.1208,60.0069,60.6625,-102.6958,-101.8347
125, lake Claire,Canada,58.5931,-112.0792,58.2931,58.8736,-112.4792,-111.6903
126, Yathkyed lake,Canada,62.7431,-98.1431,62.4042,62.9708,-98.5014,-97.2764
127, lac la Ronge,Canada,55.0181,-105.0931,54.8875,55.3347,-105.3153,-104.3625
128, lac a l'Eau Claire,Canada,56.0681,-74.1069,55.9403,56.3597,-74.8847,-73.9153
129, represa de Ilha Solteira,Brazil,-20.2236,-51.0486,-20.5681,-19.1653,-51.5319,-50.4208
130, Rainy lake,Canada,48.5736,-92.8014,48.2653,48.9681,-93.6292,-92.3431
