Date,Solar radiation (W/m2),Air temperature (C),Vapour pressure (mb),Wind Speed (m/s),Cloudiness (-)
2017-11-01 00:00,0,8.813,9.71,6.265,0
2017-11-01 06:00,45,9.768,11.299,6.282,0
2017-11-01 12:00,12.5,11.022,11.273,7.731,0.1575
2017-11-01 18:00,0,10.778,11.253,7.922,0.0225
2017-11-02 00:00,0,10.009,11.219,8.135,0.035
2017-11-02 06:00,125,10.248,11.2,6.411,0.06
2017-11-02 12:00,10,10.519,11.213,6.044,0.13
2017-11-02 18:00,0,9.054,11.264,4.823,0.0625
2017-11-03 00:00,0,7.791,9.69,3.417,0.0175
2017-11-03 06:00,185,9.122,9.707,3.863,0
2017-11-03 12:00,25,9.453,9.702,3.667,0.0275
2017-11-03 18:00,0,9.05,9.697,4.366,0.1675
2017-11-04 00:00,0,7.926,9.687,4.551,0.125
2017-11-04 06:00,180,9.221,9.669,5.111,0.05
2017-11-04 12:00,25,9.955,9.638,4.784,0
2017-11-04 18:00,0,8.781,9.623,6.163,0
2017-11-05 00:00,0,8.986,9.607,5.972,0
2017-11-05 06:00,160,10.469,11.189,4.686,0
2017-11-05 12:00,10,10.294,11.193,2.181,0
2017-11-05 18:00,0,8.765,9.645,4.549,0
2017-11-06 00:00,0,7.999,9.684,4.271,0.0075
2017-11-06 06:00,172.5,7.955,8.119,4.139,0
2017-11-06 12:00,32.5,8.12,8.148,3.223,0
2017-11-06 18:00,0,6.054,8.184,2.327,0
2017-11-07 00:00,0,5.231,8.195,0.729,0
2017-11-07 06:00,217.5,7.033,8.189,1.62,0.06
2017-11-07 12:00,25,7.535,8.168,3.448,0
2017-11-07 18:00,0,7.357,8.16,4.429,0.015
2017-11-08 00:00,0,6.829,9.769,4.143,0.015
2017-11-08 06:00,135,7.531,8.152,4.404,0
2017-11-08 12:00,17.5,7.539,8.148,3.346,0.015
2017-11-08 18:00,0,6.315,8.157,2.351,0.025
2017-11-09 00:00,0,5.614,8.149,1.797,0.015
2017-11-09 06:00,72.5,6.588,8.138,3.868,0.0275
2017-11-09 12:00,10,7.452,8.117,5.851,0
2017-11-09 18:00,0,7.367,9.719,7.234,0
2017-11-10 00:00,0,7.309,8.083,4.969,0
2017-11-10 06:00,90,7.926,9.655,7.045,0.09
2017-11-10 12:00,2.5,7.894,9.587,8.395,0.15
2017-11-10 18:00,0,6.551,6.399,9.605,0.0375
2017-11-11 00:00,0,5.737,6.403,9.73,0.035
2017-11-11 06:00,145,6.181,6.4,9.285,0.1125
2017-11-11 12:00,10,6.51,6.389,7.41,0.22
2017-11-11 18:00,0,5.572,7.988,7.277,0.0525
2017-11-12 00:00,0,4.702,6.397,7.166,0.08
2017-11-12 06:00,162.5,5.715,7.983,5.937,0.2075
2017-11-12 12:00,10,5.889,7.971,3.424,0.315
2017-11-12 18:00,0,5.028,7.991,2.361,0.1275
2017-11-13 00:00,0,4.424,8.019,3.508,0
2017-11-13 06:00,157.5,5.114,8.057,4.437,0
2017-11-13 12:00,7.5,5.499,6.475,4.205,0.045
2017-11-13 18:00,0,3.466,6.501,3.484,0
2017-11-14 00:00,0,2.548,6.511,3.339,0
2017-11-14 06:00,147.5,4.996,6.511,5.84,0.0975
2017-11-14 12:00,5,6.281,8.117,7.849,0.015
2017-11-14 18:00,0,6.849,8.135,6.287,0
2017-11-15 00:00,0,6.441,8.149,4.907,0
2017-11-15 06:00,117.5,7.391,8.158,5.138,0.075
2017-11-15 12:00,7.5,7.884,9.785,4.165,0
2017-11-15 18:00,0,7.199,9.801,2.77,0
2017-11-16 00:00,0,7.033,9.8,1.821,0.0275
2017-11-16 06:00,130,7.666,9.794,3.853,0.04
2017-11-16 12:00,7.5,7.545,9.769,4.493,0
2017-11-16 18:00,0,6.299,8.135,6.03,0
2017-11-17 00:00,0,6.646,8.134,5.21,0
2017-11-17 06:00,160,7.193,8.154,5.426,0.0075
2017-11-17 12:00,7.5,6.73,8.158,3.955,0
2017-11-17 18:00,0,5.166,6.525,5.104,0.0575
2017-11-18 00:00,0,4.745,6.499,7.303,0.0325
2017-11-18 06:00,80,5.748,6.462,10.052,0
2017-11-18 12:00,0,5.905,6.431,7.821,0.0775
2017-11-18 18:00,0,5.109,6.428,7.797,0.1125
2017-11-19 00:00,0,4.791,6.41,8.587,0.22
2017-11-19 06:00,122.5,5.645,6.397,8.798,0.2
2017-11-19 12:00,2.5,5.709,6.404,9.393,0.365
2017-11-19 18:00,0,3.728,6.441,7.95,0.0025
2017-11-20 00:00,0,2.968,6.462,6.088,0.025
2017-11-20 06:00,120,4.326,6.468,5.885,0.1225
2017-11-20 12:00,0,4.194,6.47,3.225,0.04
2017-11-20 18:00,0,3.27,6.471,1.335,0.025
2017-11-21 00:00,0,3.481,6.461,1.429,0
2017-11-21 06:00,92.5,4.297,6.459,1.083,0.0025
2017-11-21 12:00,0,4.546,8.068,1.987,0.01
2017-11-21 18:00,0,4.812,8.062,3.73,0.0175
2017-11-22 00:00,0,5.696,8.032,5.674,0
2017-11-22 06:00,35,7.24,9.617,6.105,0
2017-11-22 12:00,2.5,8.699,9.616,6.238,0
2017-11-22 18:00,0,7.482,9.62,6.685,0
2017-11-23 00:00,0,6.982,8.013,7.437,0
2017-11-23 06:00,125,8.311,8.002,8.31,0
2017-11-23 12:00,2.5,10.377,7.986,8.561,0
2017-11-23 18:00,0,9.664,9.616,6.74,0.0325
2017-11-24 00:00,0,7.687,9.65,5.153,0
2017-11-24 06:00,67.5,8.863,9.627,5.866,0
2017-11-24 12:00,0,8.283,9.636,3.554,0.185
2017-11-24 18:00,0,6.303,8.068,4.151,0.0325
2017-11-25 00:00,0,5.583,8.068,2.06,0
2017-11-25 06:00,37.5,5.446,8.043,0.828,0
2017-11-25 12:00,0,4.845,8.039,3.103,0
2017-11-25 18:00,0,4.266,6.456,5.078,0
2017-11-26 00:00,0,3.438,6.47,5.921,0.08
2017-11-26 06:00,97.5,3.792,6.481,8.079,0.035
2017-11-26 12:00,0,4.755,6.481,8.116,0.03
2017-11-26 18:00,0,4.755,6.488,7.911,0.005
2017-11-27 00:00,0,4.221,6.491,8.461,0
2017-11-27 06:00,105,4.07,6.487,7.777,0.035
2017-11-27 12:00,0,4.366,6.451,9.427,0.0075
2017-11-27 18:00,0,5.115,8.016,8.725,0
2017-11-28 00:00,0,5.675,7.991,7.966,0.0575
2017-11-28 06:00,57.5,5.665,7.992,8.363,0.0775
2017-11-28 12:00,0,5.604,7.989,7.478,0.1225
2017-11-28 18:00,0,4.652,6.406,5.717,0.0575
2017-11-29 00:00,0,3.505,6.41,4.19,0.0075
2017-11-29 06:00,105,3.426,6.423,3.464,0.05
2017-11-29 12:00,0,3.587,6.426,2.41,0.0625
2017-11-29 18:00,0,2.634,6.426,2.211,0.14
2017-11-30 00:00,0,2.344,6.417,2.531,0.065
2017-11-30 06:00,92.5,2.64,6.419,1.481,0.015
2017-11-30 12:00,0,2.334,6.421,0.547,0.0325
2017-11-30 18:00,0,1.521,6.436,1.799,0.075
2017-12-01 00:00,0,1.704,6.448,3.233,0.095
2017-12-01 06:00,95,2.368,6.471,3.424,0
2017-12-01 12:00,0,2.389,6.492,3.291,0
2017-12-01 18:00,0,2.045,6.519,2.727,0
2017-12-02 00:00,0,1.375,6.534,2.521,0
2017-12-02 06:00,95,2.43,6.549,2.587,0
2017-12-02 12:00,0,1.985,6.55,3.943,0.0175
2017-12-02 18:00,0,1.489,6.547,5.184,0
2017-12-03 00:00,0,0.597,6.533,6.321,0
2017-12-03 06:00,75,1.718,6.517,7.886,0
2017-12-03 12:00,0,2.646,6.495,6.541,0.0825
2017-12-03 18:00,0,3.271,6.489,6.045,0.0425
2017-12-04 00:00,0,3.755,6.486,6.111,0.1275
2017-12-04 06:00,95,3.991,6.502,6.215,0.175
2017-12-04 12:00,0,3.66,6.522,5.429,0.0025
2017-12-04 18:00,0,2.75,6.542,5.399,0
2017-12-05 00:00,0,3.68,6.538,5.17,0
2017-12-05 06:00,25,6.388,8.157,7.925,0
2017-12-05 12:00,0,6.979,8.148,9.278,0
2017-12-05 18:00,0,7.102,8.144,9.76,0
2017-12-06 00:00,0,6.972,8.139,9.685,0.0075
2017-12-06 06:00,20,6.545,8.136,9.651,0
2017-12-06 12:00,0,7.083,8.128,9.899,0
2017-12-06 18:00,0,6.878,8.128,8.664,0
2017-12-07 00:00,0,6.411,8.111,8.159,0
2017-12-07 06:00,42.5,5.64,6.474,9.275,0.0025
2017-12-07 12:00,0,5.033,6.437,8.671,0
2017-12-07 18:00,0,5.239,6.404,9.568,0
2017-12-08 00:00,0,5.839,7.973,7.499,0
2017-12-08 06:00,102.5,4.992,6.394,7.942,0
2017-12-08 12:00,0,3.934,6.397,6.939,0.1025
2017-12-08 18:00,0,2.736,6.408,7.951,0.0525
2017-12-09 00:00,0,1.717,4.805,8.53,0.0375
2017-12-09 06:00,55,2.549,6.4,8.292,0
2017-12-09 12:00,0,3.454,6.403,7.872,0.1125
2017-12-09 18:00,0,2.873,6.409,7.826,0.08
2017-12-10 00:00,0,1.773,4.8,8.758,0.1825
2017-12-10 06:00,75,1.13,4.785,7.977,0.0425
2017-12-10 12:00,0,0.988,4.751,6.811,0.13
2017-12-10 18:00,0,0.19,4.725,7.093,0
2017-12-11 00:00,0,3.298,6.283,3.726,0.1675
2017-12-11 06:00,52.5,2.752,6.312,1.91,0.015
2017-12-11 12:00,0,3.239,6.31,3.101,0
2017-12-11 18:00,0,4.371,7.871,4.472,0
2017-12-12 00:00,0,5.202,7.873,3.981,0
2017-12-12 06:00,42.5,4.624,6.336,7.633,0.005
2017-12-12 12:00,0,3.33,6.394,7.39,0.0375
2017-12-12 18:00,0,2.537,6.446,6.749,0.0375
2017-12-13 00:00,0,1.903,6.462,7.39,0.03
2017-12-13 06:00,90,2.09,4.843,8.326,0
2017-12-13 12:00,0,2.744,6.407,9.239,0
2017-12-13 18:00,0,2.949,6.356,10.037,0
2017-12-14 00:00,0,3.544,6.301,8.319,0
2017-12-14 06:00,40,4.126,6.295,8.253,0.03
2017-12-14 12:00,0,3.672,6.322,7.775,0.0625
2017-12-14 18:00,0,3.133,6.331,7.268,0.0825
2017-12-15 00:00,0,1.87,6.338,5.274,0.0225
2017-12-15 06:00,57.5,2.601,6.35,4.132,0.005
2017-12-15 12:00,0,2.813,6.371,4.374,0.08
2017-12-15 18:00,0,2.01,6.388,4.068,0.2175
2017-12-16 00:00,0,2.029,6.394,3.975,0.1625
2017-12-16 06:00,67.5,2.252,6.41,4.627,0.0375
2017-12-16 12:00,0,2.251,6.429,3.868,0
2017-12-16 18:00,0,1.398,6.452,3.59,0.0375
2017-12-17 00:00,0,1.068,4.854,3.881,0.0825
2017-12-17 06:00,72.5,1.296,4.878,3.107,0.0375
2017-12-17 12:00,0,1.119,4.894,2.439,0.08
2017-12-17 18:00,0,0.807,4.903,2.648,0
2017-12-18 00:00,0,0.677,4.904,3.65,0.0025
2017-12-18 06:00,72.5,1.108,4.918,3.327,0
2017-12-18 12:00,0,1.078,4.925,3.196,0
2017-12-18 18:00,0,0.758,4.93,3.968,0
2017-12-19 00:00,0,1.479,6.568,3.16,0
2017-12-19 06:00,47.5,2.253,6.579,2.628,0.0275
